Schumann-Op09-Carnaval_17_Paganini                                                    _^0saaAeaZcoo.opus   ss=0 to=108.27 cmp=ckb2 v=4db
Schumann-Op09-Carnaval_18_Aveu                                                        _^M-ogQP4DIEQ.opus   ss=0 to=73.79 cmp=ckb2 v=4db
Schumann-Op09-Carnaval_19_Promenade                                                   _^TRuK1gvF1Sg.opus   ss=0 to=153.31 cmp=ckb2 v=4db
Schumann-Op09-Carnaval_20_Pause                                                       _^rqU-WbjuGAo.opus   ss=0 to=20.61 cmp=ckb2 v=4db
Schumann-Op09-Carnaval_21_Marche_des_Davidsbundler_contre_les_Philistins              _^6nLh7DAJOXU.opus   ss=0 to=248.71 cmp=ckb2 v=4db
Schumann-Op15-Kinderszenen-01_Von_fremden_Landern_und_Menschen                        _^xFXt3y16-6Y.opus   ss=0 to=103.99 cmp=ckb2 v=4db
Schumann-Op15-Kinderszenen-02_Kuriose_Geschichte                                      _^6TKEUqwXVM8.opus   ss=0 to=74.31 cmp=ckb2 v=4db
Schumann-Op15-Kinderszenen-03_Hasche-Mann                                             _^mkXayLwt0Dw.opus   ss=0 to=32.41 cmp=ckb2 v=4db
Schumann-Op15-Kinderszenen-04_Bittendes_Kind                                          _^Mt2iEj3r8Co.opus   ss=0 to=49.65 cmp=ckb2 v=4db
Schumann-Op15-Kinderszenen-05_Gluckes_genug                                           _^f4k844euoYk.opus   ss=0 to=51.01 cmp=ckb2 v=4db
Schumann-Op15-Kinderszenen-06_Wichtige_Begebenheit                                    _^8NrHJD8XpwU.opus   ss=0 to=56.77 cmp=ckb2 v=4db
Schumann-Op15-Kinderszenen-07_Traumerei                                               _^jgRPb9eOKec.opus   ss=0 to=191.03 cmp=ckb2 v=4db
Schumann-Op15-Kinderszenen-08_Am_Kamin                                                _^s8N-I3uph9E.opus   ss=0 to=60.21 cmp=ckb2 v=4db
Schumann-Op15-Kinderszenen-09_Ritter_vom_Steckenpferd                                 _^GTugJZnoaJU.opus   ss=0 to=40.35 cmp=ckb2 v=4db
Schumann-Op15-Kinderszenen-10_Fast_zu_ernst                                           _^q9ory61VjKw.opus   ss=0 to=105.35 cmp=ckb2 v=4db
Schumann-Op15-Kinderszenen-11_Furchtenmachen                                          _^-R0_vWIliYc.opus   ss=0 to=130.95 cmp=ckb2 v=4db
Schumann-Op15-Kinderszenen-12_Kind_im_Einschlummern                                   _^Ld4GyTuHQD0.opus   ss=0 to=171.39 cmp=ckb2 v=4db
Schumann-Op15-Kinderszenen-13_Der_Dichter_spricht                                     _^VtaW1yP7PZM.opus   ss=0 to=174.53 cmp=ckb2 v=4db
Schumann-Op18-Arabeske-Cmaj                                                           _^mehXkdTAsKk.opus   ss=0 to=378.81 cmp=ckb2 v=4db
