849-Lester_Young_w_Oscar_Peterson_Trio-Just_You _Just_Me                                                                         _^PNl63ARx0DM.m4a    c=3 p=0 t=1 to=1036 ss=575
413-Leclair_Op9-7_Flute_Sonata-G-Maj^fJwnsyEtkK0.opus-t0.88-p5-c3-F-ss5790-to6549-v1db.mp3 _^413-Leclair_Op9-7_Flute_Sonata-G-Maj^fJwnsyEtkK0.opus                          v=1db                F=y c=3 p=5 t=0.88 to=6549 ss=5790
414-Leclair_Op9-7_Flute_Sonata-G-Maj^fJwnsyEtkK0.opus-t0.85-p-2-c3-F-ss5790-to6549-v1db.mp3 _^414-Leclair_Op9-7_Flute_Sonata-G-Maj^fJwnsyEtkK0.opus                          v=1db                F=y c=3 p=-2 t=0.85 to=6549 ss=5790
415-Leclair_Op1-6_Flute_Sonata-E-Min-xAllergro^fJwnsyEtkK0.opus-t0.83-p1-c3-F-ss3005-to3663-v2db.mp3 _^415-Leclair_Op1-6_Flute_Sonata-E-Min-xAllergro^fJwnsyEtkK0.opus                v=2db                F=y c=3 p=1 t=0.83 to=3663 ss=3005
416-Leclair_Op2-1_Flute_Sonata-E-Min^fJwnsyEtkK0.opus-t1.12-p1-c3-F-ss0-to810-v2db.mp3 _^416-Leclair_Op2-1_Flute_Sonata-E-Min^fJwnsyEtkK0.opus                          v=2db                F=y c=3 p=1 t=1.12 to=810 ss=0
417-Leclair_Op9-7_Flute_Sonata-G-Maj_2-Allegro-ma-non-troppo^fJwnsyEtkK0.opus-t1.02-p-2-c3-F-ss6020-to6210-v1db.mp3 _^417-Leclair_Op9-7_Flute_Sonata-G-Maj_2-Allegro-ma-non-troppo^fJwnsyEtkK0.opus  v=1db                F=y c=3 p=-2 t=1.02 to=6210 ss=6020
421-Bach-BWV1001-Sonata-1-G-Min-Violin-Milstein-Scroll^JRt0I1R8zO0.opus-t1.04-p-2.03-F-c3-ss18-to917.mp3 _^421-Bach-BWV1001-Sonata-1-G-Min-Violin-Milstein-Scroll^JRt0I1R8zO0.opus        F=y                  c=3 p=-2.03 t=1.04 to=917 ss=18
423-Astor_Piazzolla-Cite_Tango^m_zBIKrF9G0.opus-t1-p0-c3-ss0-to335.mp3 _^423-Astor_Piazzolla-Cite_Tango^m_zBIKrF9G0.opus                                c=3                  p=0 t=1 to=335 ss=0
838-Alessandro_Scarlatti-La_Follia_Synthesia _^4A_U-FKpzA0.opus                                                               v=-12db              c=1 p=2.02 t=1.17 to=94.9 ss=0
514-Bach-BWV1003-Sonata-2-A-Min-Violin-Milstein-Scroll^T2llmbA_CCM.opus-t1-p0-c3-ss18-to1361.mp3 _^514-Bach-BWV1003-Sonata-2-A-Min-Violin-Milstein-Scroll^T2llmbA_CCM.opus        c=3                  p=0 t=1 to=1361 ss=18
524-Bach-BWV1005-Sonata-3-C-Maj-Violin-Milstein-Scroll^fRq8zCmew28.opus-t1.04-p-2.03-F-c3-ss18-to1294.mp3 _^524-Bach-BWV1005-Sonata-3-C-Maj-Violin-Milstein-Scroll^fRq8zCmew28.opus        F=y                  c=3 p=-2.03 t=1.04 to=1294 ss=18
525-Bach-BWV1006-Partita-3-E-Maj-Violin-Milstein-Scroll^7ERqr_1Knfk.opus-t1.04-p0.02-c3-ss36-to1155.mp3 _^525-Bach-BWV1006-Partita-3-E-Maj-Violin-Milstein-Scroll^7ERqr_1Knfk.opus       c=3                  p=0.02 t=1.04 to=1155 ss=36
318-Bach_BWV228-Motet_4-Furchte_dich_nicht_Scroll _^5AtB1iWLVuQ.mp4                                                                c=3                  p=-0.01 t=1.04 to=645 ss=29
707-Haydn_Sym_38_Cmaj_Echo_Solomons _^5zUzO4-ivlA.ogg                                                                F=y                  c=1 p=5.03 t=1.44 ss=0
609-Haydn_string_quartet_op.76_no_2-^yXLbPL0lnus.mp3 _^609-Haydn_string_quartet_op.76_no_2                                            ss=0                
621-Haydn_Sym38_C_maj_Echo_Solomons-t1.38-p3.01-c5^5zUzO4-ivlA.ogg.mp3 _^621-Haydn_Sym38_C_maj_Echo_Solomons-t1.38                                      i=vlA.ogg            c=5^5zUzO4 p=3.01 ss=0
917-4-Non-Blondes_Whats-Up _^6NXnxTNIWkc.opus                                                               v=3db                F=y c=4 p=1.03 t=1.09 ss=0
708-Haydn_string_quartet_op.64_no_5_The_Lark-^4uYxn1M_O-4.opus-t1.21-p1.98-F-c1-CF-v1.03.mp3 _^708-Haydn_string_quartet_op.64_no_5_The_Lark                                   v=1.03               F=y c=1-CF p=1.98 t=1.21 ss=0
964-Mozart_K313-Flute_Concerto_1_G_maj-Jean_Pierre_Rampal-Sydney_Symphony _^71CugOCzcrQ.m4a                                                                v=-3db               cmp=hrn3 c=3 p=-3.01 t=1.082 to=1543.5 ss=18
925-Beatles-All_Together_Now_Remastered_2009 _^73lj5qJbrms.opus                                                               c=3                  p=-1.98 t=1.04 ss=0
835-Bertali_Chiacona_C_violin_continuo _^76phq9-KHi0.opus                                                               F=y                  c=1 p=0.02 t=1.12 ss=0
863-Geminiani_Follia_Concerto_Grosso_ONE_Antonini _^7a_Dt8AnGaU.opus                                                               v=-6db               cmp=hrn3 c=3 p=0.02 t=1.12 to=721.2 ss=2
846-Corelli_La_Follia_CHAARTS _^7Oy_EcAYbnY.opus                                                               c=3                  p=0 t=1 to=707 ss=0
913-Klughardt_op79_Wind_Quintet_Philharmonic_Five _^7u_WGwgNeLg.opus                                                               c=3                  p=0 t=1 to=1295.75 ss=0
908-Vivaldi_La_Follia _^7v8zxoEoA_Q.opus                                                               F=y                  c=1 p=0.02 t=1.12 ss=0
836-Alessandro_Scarlatti-La_Folia_Espagne_Piano _^7xwxthXoDvQ.opus                                                               v=-4db               c=1 p=0.02 t=1.12 to=83 ss=0
802-Cherubini-String-Quartets-St-Louis-Symphony.mp3 _^802-Cherubini-String-Quartets-St-Louis-Symphony.mp3                            ss=0                
805-Handel-Il-trionfo-del-Tempo-e-del-Disinganno-Paul-McCreesh-t1.18-p1.05-F-c4.mp3 _^805-Handel-Il-trionfo-del-Tempo-e-del-Disinganno-Paul-McCreesh-t1.18           F=y                  c=4 p=1.05 ss=0
810-Telemann-twv52f1-F-maj-recorder-bassoon-concerto.32-40^hd9Z8g0JE7s.mp3 _^810-Telemann-twv52f1-F-maj-recorder-bassoon-concerto.32                        ss=0                
813-Triple_Flageolet_1825-t1.28-p0-c3-cf^vDwsJx-6rV0.mp3 _^813-Triple_Flageolet_1825-t1.28                                                c=3                  p=0 ss=0
814-Telemann-twv52f1-F-maj-recorder-bassoon-concerto.32-40.t1.13-p2.00^hd9Z8g0JE7s.mp3 _^814-Telemann-twv52f1-F-maj-recorder-bassoon-concerto.32                        p=2.00^hd9Z8g0JE7s   ss=0
815-Chopin-Op35-Piano-Sonata-2-B-flat-min-Pollack-3m^Zu70PHBru5U.opus-t0.93-p5.18-F-c6-to286-rev.mp3 _^815-Chopin-Op35-Piano-Sonata-2-B-flat-min-Pollack-3m^Zu70PHBru5U.opus          F=y                  c=6 p=5.18 t=0.93 to=286 ss=0
816-Chopin-Op35-Piano-Sonata-2-B-flat-min-Pollack-3m^Zu70PHBru5U.opus-t0.97-p5.15-F-c6-to286.mp3 _^816-Chopin-Op35-Piano-Sonata-2-B-flat-min-Pollack-3m^Zu70PHBru5U.opus          F=y                  c=6 p=5.15 t=0.97 to=286 ss=0
817-Telemann_recorder_double_concertos_Bosgraaf-t1.125-p-4^hd9Z8g0JE7s.mp3 _^817-Telemann_recorder_double_concertos_Bosgraaf-t1.125                         p=-4^hd9Z8g0JE7s     ss=0
824-Telemann-twv52f1-F-maj-recorder-bassoon-concerto.32-40.t1.63-p3.87^hd9Z8g0JE7s.mp3 _^824-Telemann-twv52f1-F-maj-recorder-bassoon-concerto.32                        p=3.87^hd9Z8g0JE7s   ss=0
825-Telemann_TWV52f1_recorder_bassoon_Concerto-t1.333^3nFiUFMdiAA.mp3 _^825-Telemann_TWV52f1_recorder_bassoon_Concerto-t1.333^3nFiUFMdiAA.mp3          t=1.333^3nFiUFMdiAA   ss=0
826-20180808-FrenchMusic.mp3 _^826-20180808-FrenchMusic.mp3                                                   ss=0                
830-Bach-BWV1034-Flute-Sonata-E-Min-Scrolling.mp3 _^830-Bach-BWV1034-Flute-Sonata-E-Min-Scrolling.mp3                              ss=0                
844-Chopin-Op35-Piano-Sonata-2-B-flat-min-Pollack-3m^Zu70PHBru5U.opus-revcomp-t0.97-p5.15-F-c6-to286.mp3 _^844-Chopin-Op35-Piano-Sonata-2-B-flat-min-Pollack-3m^Zu70PHBru5U.opus          F=y                  c=6 p=5.15 t=0.97 to=286 ss=0
845-Chopin-Op35-Piano-Sonata-2-B-flat-min-Pollack-3m^Zu70PHBru5U.opus-t0.97-p5.15-F-c6-to286.mp3 _^845-Chopin-Op35-Piano-Sonata-2-B-flat-min-Pollack-3m^Zu70PHBru5U.opus          F=y                  c=6 p=5.15 t=0.97 to=286 ss=0
967-Pete_Seeger_1968-Sweden _^8a0XJ019Oac.opus                                                               v=0db                cmp=hrn3 c=3 p=0 t=0.924 to=2819.68 ss=16
616-September_1666_Baker_Pudding_Lane_Baker_actions-Al_Start _^8VmtiGLfrlQ.mkv                                                                v=-2db               ss=0
902-September_1666_Baker_Pudding_Lane_Baker_actions-Al_Start _^8VmtiGLfrlQ.mp3                                                                ss=0                
612-Telemann-Flute-Fantasia_09-12_scroll _^8w-uf2tAil4.opus                                                               v=-7db               c=1 p=0 t=1.54 ss=0
310-11-Quantz_Capricio_I_in_D_Minor_QV_3_1.8 _^8wZpqgbtaIg.opus.mp3                                                           ss=0                
928-Mozart-K620-The-Magic-Flute-Sans-dialogue-1.18.mp3 _^928-Mozart-K620-The-Magic-Flute-Sans-dialogue-1.18.mp3                         ss=0                
930-Cherubini+1842_Piano_Sonatas_Giammarco^JXNvGdQOZgc.opus-t1.11-p0.04-F-c1-v1.09.mp3 _^930-Cherubini+1842_Piano_Sonatas_Giammarco^JXNvGdQOZgc.opus                    v=1.09               F=y c=1 p=0.04 t=1.11 ss=0
939-Bach_bwv846-869_Preludes_Fugues_scroll-t1-p0-c1.mp3 _^939-Bach_bwv846-869_Preludes_Fugues_scroll-t1-p0-c1.mp3                        ss=0                
910-Vivaldi_RV63_La_Follia_D_Min_Trio_Sonata _^9BLfaQ98FbM.opus                                                               v=-7db               c=1 p=0.02 t=1.12 to=582.3 ss=0
322-Bach-BWV1003-Sonata-2-A-min-solo-violin_Allegro-assai_Bruggen-recorder _^9G0Yh3wg3js.opus                                                               v=3db                F=y c=3 p=-3 t=1.03 to=1722 ss=1356
324-Bach-BWV1001.Sonata-1-G-min-solo-violin_Allegro_Bruggen-recorder _^9G0Yh3wg3js.opus                                                               v=6db                F=y c=3 p=6 t=1.03 to=1356 ss=917
701-Haydn-Niemecz_Mechanical_Organ _^A9Xsi_0ZMPE.opus                                                               v=-10db              cmp=ckb c=5 p=0 t=1.04 ss=0
812-Haydn_Niemecz_mechanical_organ _^A9Xsi_0ZMPE.opus.mp3                                                           ss=0                
921-Shocking-Blue_Venus _^aPEhQugz-Ew.opus                                                               v=-5db               c=6 p=2.98 t=1.15 ss=0
922-Dexy_Midnight_Runners-Come_On_Eileen_1982 _^ASwge9wc-eI.opus                                                               v=0.83               F=y c=4 p=2.87 t=1.08 ss=0
837-Falconieri_Ciaccona_Orazio_Gentileschi _^bbr5NQh4j8M.opus                                                               F=y                  c=1 p=0.02 t=1.12 ss=0
715-Quantz_Duet_2_QV3_2_Op2-2_Andantino _^bJ4JDr0imFs.opus.mp3                                                           ss=0                
613-Telemann-Flute-Fantasia_11-12_scroll _^BrjvWUqh7bw.m4a                                                                v=-8db               c=3 p=0 t=1.54 ss=0
222-Bach-BWV230_Motet_6-Lobet_den_Herrn_alle_Heiden_Scroll _^cncl4dXZ2PM.webm                                                               c=3                  p=0 t=1 to=413 ss=24
710-Quantz_Duet_1_QV3_2_Op2-1_Presto _^d1zBCb5BkG8.opus.mp3                                                           ss=0                
214-Beethoven_Op130__Quartet_B-flat-maj_1826 _^d9rYNUYP_LM.opus                                                               c=4                  p=0 t=1 to=2155 ss=0
215-Beethoven_Op131__Quartet_C-sharp-min_1826 _^d9rYNUYP_LM.opus                                                               c=4                  p=0 t=1 to=4481 ss=2155
217-Beethoven_Op132__Quartet_A-min_1825 _^d9rYNUYP_LM.opus                                                               c=4                  p=0 t=1 to=7109 ss=4481
220-Beethoven_Op135__Quartet_F-maj_1826 _^d9rYNUYP_LM.opus                                                               c=4                  p=0 t=1 to=8583 ss=7109
218-Beethoven_Op133__Grose_Fuge_B-flat-maj_quartet_1825 _^d9rYNUYP_LM.opus                                                               c=4                  p=0 t=1 to=9595 ss=8583
821-Beethoven_Op131_xrp_Quartet_C-sharp-min_1826 _^d9rYNUYP_LM.opus                                                               v=3db                cmp=hrn3 c=4 p=1.003 t=1.180 to=3781.368 ss=3428.352
819-Beethoven_Op131_xrp_Quartet_C-sharp-min_1826 _^d9rYNUYP_LM.opus                                                               v=4db                cmp=hrn3 c=4 p=-1.979 t=0.924 to=3781.368 ss=3428.352
818-Haydn_Skowronek_mechanical_organ_pieces_Ventorum _^DARsV1-iwmI.m4a                                                                c=3                  p=0 t=1 to=722.05 ss=5
703-Haydn_Skowronek_mechanical_organ_pieces_1772_1792_Ventorum_scroll _^DARsV1-iwmI.m4a                                                                to=722.flac          ss=5
828-Bach-BWV1013-Partita-A-Min-Solo-Flute-Scroll _^Datoqxx-biw.webm                                                               c=3                  p=0 t=1.64 to=796 ss=17
102-The_Who-Love_Reign_Oer_Me _^DhLsC2FpDZk.opus                                                               c=3                  p=0 t=1.04 ss=0
717-Lester_Young-Im_Confessin_That_I_Love_You _^dP-iIgnvM-k.opus                                                               c=3                  p=0 t=1 to=1141 ss=983
720-Lester_Young-It_All_Depends_On_You _^dP-iIgnvM-k.opus                                                               c=3                  p=0 t=1 to=1336 ss=1141
721-Lester_Young-Lester_Swings _^dP-iIgnvM-k.opus                                                               c=3                  p=0 t=1 to=1495 ss=1336
724-Lester_Young-Petes_Cafe _^dP-iIgnvM-k.opus                                                               c=3                  p=0 t=1 to=1707 ss=1495
725-Lester_Young-September_in_the_Rain _^dP-iIgnvM-k.opus                                                               c=3                  p=0 t=1 to=1894 ss=1707
712-Lester_Young-These_Foolish_Things _^dP-iIgnvM-k.opus                                                               c=3                  p=0 t=1 to=199 ss=11
727-Lester_Young-Slow_Motion_Blues _^dP-iIgnvM-k.opus                                                               c=3                  p=0 t=1 to=2075 ss=1894
728-Lester_Young-Stardust _^dP-iIgnvM-k.opus                                                               c=3                  p=0 t=1 to=2292 ss=2075
730-Lester_Young-Sunday _^dP-iIgnvM-k.opus                                                               c=3                  p=0 t=1 to=2704 ss=2292
731-Lester_Young-Be_Bop_Boogie _^dP-iIgnvM-k.opus                                                               c=3                  p=0 t=1 to=2897 ss=2704
732-Lester_Young-Pennies_from_Heaven _^dP-iIgnvM-k.opus                                                               c=3                  p=0 t=1 to=3113 ss=2897
713-Lester_Young-Count_Every_Star _^dP-iIgnvM-k.opus                                                               c=3                  p=0 t=1 to=364 ss=199
734-Lester_Young-D_B_Blues _^dP-iIgnvM-k.opus                                                               c=3                  p=0 t=1 to=552 ss=364
